"sexo","grupo_etareo","id_provincia_residencia","provincia_residencia","id_pais_nacimiento","pais_nacimiento","pais_origen","id_profesion_referencia","profesion_referencia","id_pais_formacion","pais_formacion","id_provincia_formacion","provincia_formacion","id_institucion_formadora","institucion_formadora","anio_titulo","total","anio_corte"
"F","35-39",14,"Córdoba",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2010,1,2023
"F","35-39",14,"Córdoba",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2015,1,2023
"F","35-39",22,"Chaco",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2023,1,2023
"F","35-39",30,"Entre Ríos",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2009,1,2023
"F","35-39",30,"Entre Ríos",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2010,1,2023
"F","35-39",30,"Entre Ríos",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2012,1,2023
"F","35-39",34,"Formosa",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2019,1,2023
"F","35-39",54,"Misiones",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2011,1,2023
"F","35-39",54,"Misiones",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2013,1,2023
"F","35-39",58,"Neuquén",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2012,1,2023
"F","35-39",66,"Salta",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2011,1,2023
"F","35-39",66,"Salta",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2018,1,2023
"F","35-39",74,"San Luis",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2012,1,2023
"F","30-34",14,"Córdoba",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2017,1,2023
"F","30-34",14,"Córdoba",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2019,1,2023
"F","30-34",18,"Corrientes",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2015,1,2023
"F","30-34",26,"Chubut",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2023,1,2023
"F","30-34",34,"Formosa",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2022,1,2023
"F","30-34",38,"Jujuy",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2015,1,2023
"F","30-34",42,"La Pampa",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1988,1,2023
"F","30-34",42,"La Pampa",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2014,1,2023
"F","30-34",54,"Misiones",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2013,1,2023
"F","30-34",62,"Río Negro",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2022,1,2023
"F","40-44",14,"Córdoba",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2012,1,2023
"F","40-44",26,"Chubut",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2008,1,2023
"F","40-44",26,"Chubut",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2012,1,2023
"F","40-44",26,"Chubut",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2017,1,2023
"F","40-44",30,"Entre Ríos",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2009,1,2023
"F","40-44",38,"Jujuy",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2010,1,2023
"F","40-44",38,"Jujuy",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2012,1,2023
"F","40-44",38,"Jujuy",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2018,1,2023
"F","40-44",38,"Jujuy",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2023,1,2023
"F","40-44",42,"La Pampa",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2006,1,2023
"F","40-44",54,"Misiones",200,"Argentina","Argentina",15,"Enfermero",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",2023,1,2023
