"sexo","grupo_etareo","id_provincia_residencia","provincia_residencia","id_pais_nacimiento","pais_nacimiento","pais_origen","id_profesion_referencia","profesion_referencia","id_pais_formacion","pais_formacion","id_provincia_formacion","provincia_formacion","id_institucion_formadora","institucion_formadora","anio_titulo","total","anio_corte"
"M","85+",30,"Entre Ríos",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1941,1,2023
"M","85+",30,"Entre Ríos",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1942,1,2023
"M","85+",30,"Entre Ríos",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1946,1,2023
"M","85+",30,"Entre Ríos",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1947,1,2023
"M","85+",30,"Entre Ríos",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1958,1,2023
"M","85+",30,"Entre Ríos",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1963,1,2023
"M","85+",30,"Entre Ríos",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1965,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1940,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1957,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1958,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1959,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1960,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1961,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1962,1,2023
"M","85+",18,"Corrientes",200,"Argentina","Argentina",35,"Médico",200,"Argentina",2,"Ciudad Autónoma de Buenos Aires",1172,"UNIVERSIDAD DE BUENOS AIRES",1963,1,2023
