establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web,longitud,latitud,coordinate_status
50500212361896,C.P.A. JALIFF ODONTOLOGIA.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5501,JUAN B. JUSTO 1730,NA,-68.865833,-32.906847,valid_argentina_bounds
15060702322137,JUNTOS A LA PAR - APAND,6070010000,BARADERO,6,BUENOS AIRES,70,BARADERO,10,0,Privado,17,ESCIRES,Vivienda para personas mayores,2942,SANCHEZ DE LORIA Y LINO PIÑEIRO,NA,NA,NA,missing_or_non_numeric
10065602322140,CLINICA PRIVADA PASO DEL REY,6560010005,PASO DEL REY,6,BUENOS AIRES,560,MORENO,10,5,Privado,10,ESCIG,Bajo riesgo con internación simple,1742,Salvador María del Carril N°421,NA,-58.7613957216146,-34.653411145568,valid_argentina_bounds
50500072161897,CENTRO DE PROMOCION DE LA SALUD Y MEDICINA DEPORTIVA.-,50007010009,9A. SECCION,50,MENDOZA,7,CAPITAL,10,9,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,AVENIDA DEL LIBERTADOR S/N ACONCAGUA ARENA,www.mendoza.gov.ar,-68.884033,-32.884661,valid_argentina_bounds
50500072361898,C.D.C. CENTRO MEDICO.-,50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,2,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,PRIMITIVO DE LA RETA 672,www.clinicadecuyosa.org,-68.841902,-32.895553,valid_argentina_bounds
50140142336881,C.P.A. CONSULTORIO DE KINESIOLOGIA  KINESTETICA,14014010000,CORDOBA,14,CÓRDOBA,14,CAPITAL,10,0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5000,Rita Flores de Maldonado N° 2742,NA,-64.2132488044307,-31.3819537158738,valid_argentina_bounds
51821052389173,LABORATORIO DE ANALISIS CLINICOS BIOQ. GRISELDA REVELLI,82105060000,BERNARDO DE IRIGOYEN,82,SANTA FE,105,SAN JERÓNIMO,60,0,Privado,51,ESSID,Laboratorio de Análisis Clínicos,2248,San Jerónimo 769,NA,-61.1568931524582,-32.1713193348264,valid_argentina_bounds
50060142221768,CAPS 4 ESTACION VASQUEZ (SALA DE PRIMEROS AUXILIOS),6014040000,VASQUEZ,6,BUENOS AIRES,14,ADOLFO GONZALES CHAVES,40,0,Municipal,50,ESSIDT,Sin atención médica en forma periódica (menor a 3 veces por semana),7519,calle 13 s/n Sección Quintas,NA,-60.1701627409999,-38.1760715779999,valid_argentina_bounds
50900702399770,CONSULTORIO CARDIOLOGICO,90070030000,MONTEROS,90,TUCUMÁN,70,MONTEROS,30,0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,4142,calle San Martin N° 220,NA,NA,NA,missing_or_non_numeric
50901052399816,CONSULTORIO DE PSICOLOGIA NIETO BARTHABURU,90105080000,TAFI VIEJO,90,TUCUMÁN,105,TAFÍ VIEJO,80,0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,4103,Calle Congreso N° 92,NA,-65.25987960488605,-26.730087912848887,recovered_from_healthsites
50900842399821,CONSULTORIO DE NUTRICION-VIGLIANO,90084010000,SAN MIGUEL DE TUCUMAN,90,TUCUMÁN,84,CAPITAL,10,0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,4000,Congreso N°693,NA,-65.20735991088515,-26.847802638607213,recovered_from_healthsites
